2026-04-28 15:55:44,827 | INFO    | orchestrator | DWH PIPELINE ORCHESTRATOR 
2026-04-28 15:55:44,828 | INFO    | orchestrator |   Pipeline : all                                   ║
2026-04-28 15:55:44,829 | INFO    | orchestrator |   Started  : 2026-04-28 15:55:44                   ║
2026-04-28 15:55:44,829 | INFO    | orchestrator |   Steps    : 4                                     ║
2026-04-28 15:55:44,830 | INFO    | orchestrator | 
2026-04-28 15:55:44,830 | INFO    | orchestrator | ═══  [1/4]  Create DWH  ═══
2026-04-28 15:55:45,264 | ERROR   | orchestrator | Missing env vars: ['DB_HOST', 'DB_PORT', 'DB_NAME', 'DB_USER', 'DB_PASSWORD']
2026-04-28 17:22:54,340 | INFO    | orchestrator | DWH PIPELINE ORCHESTRATOR 
2026-04-28 17:22:54,341 | INFO    | orchestrator |   Pipeline : all                                   ║
2026-04-28 17:22:54,341 | INFO    | orchestrator |   Started  : 2026-04-28 17:22:54                   ║
2026-04-28 17:22:54,342 | INFO    | orchestrator |   Steps    : 4                                     ║
2026-04-28 17:22:54,342 | INFO    | orchestrator | 
2026-04-28 17:22:54,342 | INFO    | orchestrator | ═══  [1/4]  Create DWH  ═══
2026-04-28 17:22:54,694 | ERROR   | orchestrator | Missing env vars: ['DB_HOST', 'DB_PORT', 'DB_NAME', 'DB_USER', 'DB_PASSWORD']
2026-04-28 17:29:22,325 | INFO    | orchestrator | DWH PIPELINE ORCHESTRATOR 
2026-04-28 17:29:22,326 | INFO    | orchestrator |   Pipeline : all                                   ║
2026-04-28 17:29:22,327 | INFO    | orchestrator |   Started  : 2026-04-28 17:29:22                   ║
2026-04-28 17:29:22,327 | INFO    | orchestrator |   Steps    : 4                                     ║
2026-04-28 17:29:22,327 | INFO    | orchestrator | 
2026-04-28 17:29:22,327 | INFO    | orchestrator | ═══  [1/4]  Create DWH  ═══
2026-04-28 17:29:22,480 | ERROR   | orchestrator | Missing env vars: ['DB_HOST', 'DB_PORT', 'DB_NAME', 'DB_USER', 'DB_PASSWORD']
2026-04-28 17:30:25,874 | INFO    | orchestrator | DWH PIPELINE ORCHESTRATOR 
2026-04-28 17:30:25,875 | INFO    | orchestrator |   Pipeline : all                                   ║
2026-04-28 17:30:25,876 | INFO    | orchestrator |   Started  : 2026-04-28 17:30:25                   ║
2026-04-28 17:30:25,877 | INFO    | orchestrator |   Steps    : 4                                     ║
2026-04-28 17:30:25,877 | INFO    | orchestrator | 
2026-04-28 17:30:25,877 | INFO    | orchestrator | ═══  [1/4]  Create DWH  ═══
2026-04-28 17:30:26,078 | ERROR   | orchestrator | Missing env vars: ['DB_HOST', 'DB_PORT', 'DB_NAME', 'DB_USER', 'DB_PASSWORD']
2026-04-28 17:31:04,589 | INFO    | orchestrator | DWH PIPELINE ORCHESTRATOR 
2026-04-28 17:31:04,589 | INFO    | orchestrator |   Pipeline : all                                   ║
2026-04-28 17:31:04,590 | INFO    | orchestrator |   Started  : 2026-04-28 17:31:04                   ║
2026-04-28 17:31:04,590 | INFO    | orchestrator |   Steps    : 4                                     ║
